"year","state","county","industry_sector","chemical","total_releases","fugitive_air","stack_air","water","onsite_total","air_releases"
2024,"TX","HARRIS","Chemicals","Benzene",50592,1132,41002,0,42134,42134
2024,"IL","KANE","Chemicals","Toluene",1119,133,986,0,1119,1119
2024,"NH","GRAFTON","Miscellaneous Manufacturing","Zinc compounds",2571,5,4,5,14,9
2024,"CA","SOLANO","Food","Nitric acid",10,5,5,0,10,10
2024,"MT","YELLOWSTONE","Petroleum","Xylene (mixed isomers)",15166.862,11608.9,1918.8,0,13527.742,13527.7
2024,"CA","LOS ANGELES","Fabricated Metals","Copper",124.71,0,0,0,0,0
2024,"AL","SUMTER","Hazardous Waste","Hexachlorobenzene",90,0,0,0,90,0
2024,"OH","HAMILTON","Transportation Equipment","Chromium",223,0,130,0,130,130
2024,"OH","LUCAS","Petroleum","Methanol",3300,1900,1400,0,3300,3300
2024,"IN","GIBSON","Electric Utilities","Thallium  And Thallium Compounds",51027,0,27,0,51027,27
2024,"CA","LOS ANGELES","Chemicals","Methanol",223,15,80,0,95,95
2024,"FL","POLK","Food","Nitrate compounds (water dissociable; reportable only when in aqueous solution)",3116.9,0,0,0,0,0
2024,"IN","ALLEN","Primary Metals","Chlorine",233,0,233,0,233,233
2024,"TN","HAYWOOD","Machinery","Manganese",37.1,37.1,0,0,37.1,37.1
2024,"IN","BARTHOLOMEW","Other","Lead  And Lead Compounds",15513.7,39.7,0,0,15513.7,39.7
2024,"ND","PEMBINA","Food","Dioxin and dioxin-like compounds",0.231,0,0.231,0,0.231,0.231
2024,"ID","SHOSHONE","Metal Mining","Copper",0.38,0,0,0.38,0.38,0
2024,"PA","ELK","Electrical Equipment","Benzo[g,h,i]perylene",23.25,0,3.25,0,3.25,3.25
2024,"IA","DUBUQUE","Chemicals","Methanol",2973.29,2070.17,254.16,0,2324.33,2324.33
2024,"MN","ANOKA","Fabricated Metals","Styrene",1641.821,0.821,1641,0,1641.821,1641.821
2024,"AL","AUTAUGA","Paper","Mercury  And Mercury Compounds",20.5,0,7,0.4,20.5,7
2024,"IA","LEE","Chemicals","Mecoprop",0,0,0,0,0,0
2024,"TX","MIDLAND","Petroleum Bulk Terminals","Ethylbenzene",0,0,0,0,0,0
2024,"VA","PRINCE WILLIAM","Hazardous Waste","Ethylene glycol",4,4,0,0,4,4
2024,"MI","WAYNE","Nonmetallic Mineral Product","Mercury  And Mercury Compounds",8.88,0,8.31,0,8.31,8.31
2024,"PA","BEDFORD","Plastics and Rubber","Antimony",0,0,0,0,0,0
2024,"GA","DEKALB","Electrical Equipment","Antimony",147,0,1,0,1,1
2024,"CA","KERN","Chemicals","Manganese  And Manganese Compounds",4769.05,108,2.05,0,110.05,110.05
2024,"SC","RICHLAND","Paper","Hydrogen sulfide",78974,58589,20180,205,78974,78769
2024,"AL","JEFFERSON","Primary Metals","Lead  And Lead Compounds",55820.73,296.22,5,236.96,52514.92,301.22
2024,"IL","COOK","Fabricated Metals","Chromium",5.2,5,0,0.1,5.1,5
2024,"MN","WRIGHT","Fabricated Metals","Copper",144.32,123.2,21.12,0,144.32,144.32
2024,"IL","LAKE","Nonmetallic Mineral Product","Lead",0.15,0,0.15,0,0.15,0.15
2024,"KS","SEDGWICK","Transportation Equipment","Copper",4.34,0.78,0,0,0.78,0.78
2024,"UT","BOX ELDER","Transportation Equipment","Nitroglycerin",23.52,0,0,0,23.52,0
2024,"VA","PETERSBURG (CITY)","Fabricated Metals","Chromium",7468.06,0,0.36,0,0.36,0.36
2024,"MS","ADAMS","Fabricated Metals","Nickel",0,0,0,0,0,0
2024,"MN","CHISAGO","Food","Zinc compounds",5941.44,0,5941.44,0,5941.44,5941.44
2024,"IL","EDGAR","Fabricated Metals","Chromium",23.29,23.29,0,0,23.29,23.29
2024,"TX","JEFFERSON","Petroleum Bulk Terminals","Xylene (mixed isomers)",1807.74,10.33,1796,0,1806.33,1806.33
2024,"AR","LITTLE RIVER","Nonmetallic Mineral Product","Certain glycol ethers",33.59,0.59,33,0,33.59,33.59
2024,"WA","WHATCOM","Petroleum","Cresol (mixed isomers)",142.7,114,3,25.7,142.7,117
2024,"TX","ECTOR","Chemicals","n-Hexane",250,250,0,0,250,250
2024,"TX","NOLAN","Nonmetallic Mineral Product","Lead  And Lead Compounds",35.7,0.9,34.8,0,35.7,35.7
2024,"NC","NORTHAMPTON","Chemicals","Ammonia",2046,51,1100,0,1176,1151
2024,"IA","WINNEBAGO","Electrical Equipment","Copper",3.739,0,0,0,0,0
2024,"NY","ERIE","Primary Metals","Manganese",20.332,0.27,0,0,0.27,0.27
2024,"MO","GREENE","Chemical Wholesalers","Ethylene glycol",0,0,0,0,0,0
2024,"KS","BUTLER","Petroleum","Cyclohexane",3319,3300,7,0,3307,3307
2024,"GA","LOWNDES","Chemicals","Atrazine",0,0,0,0,0,0
2024,"AZ","MARICOPA","Transportation Equipment","Chromium",0,0,0,0,0,0
2024,"NV","CLARK","Other","Lead  And Lead Compounds",41,0,0,0,0,0
2024,"OH","LORAIN","Hazardous Waste","Nicotine and salts",0.045,0.006,0,0,0.006,0.006
2024,"SD","MINNEHAHA","Nonmetallic Mineral Product","Polycyclic aromatic compounds",0.318,0.093,0.225,0,0.318,0.318
2024,"CT","FAIRFIELD","Plastics and Rubber","Zinc compounds",17173.4,0,0,5.4,5.4,0
2024,"TX","HARRISON","Chemicals","Propylene",17146,13081,4065,0,17146,17146
2024,"PA","MONTGOMERY","Chemicals","1,2,4-Trimethylbenzene",15,15,0,0,15,15
2024,"UT","SALT LAKE","Petroleum","Isoprene",1042.31,5.91,1036.4,0,1042.31,1042.31
2024,"TX","TARRANT","Food","Zinc compounds",0,0,0,0,0,0
2024,"IN","HOWARD","Primary Metals","Cobalt",188.3,1.6,158.3,0.4,160.3,159.9
